idEstado;nomeEstado;siglaEstado;
1; Acre; AC;"insert into inspecaoMV.Estado(nomeEstado, siglaEstado) values (' Acre',' AC');"
2; Alagoas; AL;"insert into inspecaoMV.Estado(nomeEstado, siglaEstado) values (' Alagoas',' AL');"
3; Amazonas; AM;"insert into inspecaoMV.Estado(nomeEstado, siglaEstado) values (' Amazonas',' AM');"
4; Amapá; AP;"insert into inspecaoMV.Estado(nomeEstado, siglaEstado) values (' Amapá',' AP');"
5; Bahia; BA;"insert into inspecaoMV.Estado(nomeEstado, siglaEstado) values (' Bahia',' BA');"
6; Ceará; CE;"insert into inspecaoMV.Estado(nomeEstado, siglaEstado) values (' Ceará',' CE');"
7; Distrito Federal; DF;"insert into inspecaoMV.Estado(nomeEstado, siglaEstado) values (' Distrito Federal',' DF');"
8; Espírito Santo; ES;"insert into inspecaoMV.Estado(nomeEstado, siglaEstado) values (' Espírito Santo',' ES');"
9; Goiás; GO;"insert into inspecaoMV.Estado(nomeEstado, siglaEstado) values (' Goiás',' GO');"
10; Maranhão; MA;"insert into inspecaoMV.Estado(nomeEstado, siglaEstado) values (' Maranhão',' MA');"
11; Minas Gerais; MG;"insert into inspecaoMV.Estado(nomeEstado, siglaEstado) values (' Minas Gerais',' MG');"
12; Mato Grosso do Sul; MS;"insert into inspecaoMV.Estado(nomeEstado, siglaEstado) values (' Mato Grosso do Sul',' MS');"
13; Mato Grosso; MT;"insert into inspecaoMV.Estado(nomeEstado, siglaEstado) values (' Mato Grosso',' MT');"
14; Pará; PA;"insert into inspecaoMV.Estado(nomeEstado, siglaEstado) values (' Pará',' PA');"
15; Paraíba; PB;"insert into inspecaoMV.Estado(nomeEstado, siglaEstado) values (' Paraíba',' PB');"
16; Pernambuco; PE;"insert into inspecaoMV.Estado(nomeEstado, siglaEstado) values (' Pernambuco',' PE');"
17; Piauí; PI;"insert into inspecaoMV.Estado(nomeEstado, siglaEstado) values (' Piauí',' PI');"
18; Paraná; PR;"insert into inspecaoMV.Estado(nomeEstado, siglaEstado) values (' Paraná',' PR');"
19; Rio de Janeiro; RJ;"insert into inspecaoMV.Estado(nomeEstado, siglaEstado) values (' Rio de Janeiro',' RJ');"
20; Rio Grande do Norte; RN;"insert into inspecaoMV.Estado(nomeEstado, siglaEstado) values (' Rio Grande do Norte',' RN');"
21; Rondônia; RO;"insert into inspecaoMV.Estado(nomeEstado, siglaEstado) values (' Rondônia',' RO');"
22; Roraima; RR;"insert into inspecaoMV.Estado(nomeEstado, siglaEstado) values (' Roraima',' RR');"
23; Rio Grande do Sul; RS;"insert into inspecaoMV.Estado(nomeEstado, siglaEstado) values (' Rio Grande do Sul',' RS');"
24; Santa Catarina; SC;"insert into inspecaoMV.Estado(nomeEstado, siglaEstado) values (' Santa Catarina',' SC');"
25; Sergipe; SE;"insert into inspecaoMV.Estado(nomeEstado, siglaEstado) values (' Sergipe',' SE');"
26; São Paulo; SP;"insert into inspecaoMV.Estado(nomeEstado, siglaEstado) values (' São Paulo',' SP');"
27; Tocantins; TO;"insert into inspecaoMV.Estado(nomeEstado, siglaEstado) values (' Tocantins',' TO');"
